LSOA Code,nc_atmn_2021,nc_sprng_2021,nc_smmr_2021,nc_wntr_2021,nc_wntr_2022
E01003066,55.08,6.67,76.64,96.22,15.25
E01003067,43.84,5.31,61.0,76.58,12.13
E01003068,47.12,5.7,65.56,82.32,13.04
E01003069,41.83,5.06,58.2,73.07,11.58
E01003070,42.89,5.19,59.68,74.93,11.87
E01003071,72.38,8.76,100.71,126.45,20.04
E01003072,54.9,6.64,76.39,95.91,15.2
E01003073,50.52,6.11,70.3,88.26,13.99
E01003074,68.45,8.28,95.24,119.58,18.95
E01003075,46.03,5.57,64.04,80.41,12.74
E01003076,63.45,7.68,88.28,110.84,17.56
E01003077,54.19,6.56,75.4,94.67,15.0
E01003078,49.69,6.01,69.14,86.82,13.76
E01003079,50.46,6.11,70.21,88.16,13.97
E01003080,52.77,6.39,73.42,92.19,14.61
E01003081,60.67,7.34,84.41,105.99,16.79
E01003082,46.65,5.65,64.91,81.49,12.91
E01003083,47.15,5.71,65.6,82.37,13.05
E01003084,49.16,5.95,68.4,85.89,13.61
E01003085,57.89,7.01,80.55,101.13,16.02
E01003086,52.38,6.34,72.89,91.52,14.5
E01003087,50.94,6.16,70.87,88.99,14.1
E01003088,46.26,5.6,64.37,80.82,12.81
E01003089,52.68,6.38,73.3,92.03,14.58
E01003090,68.62,8.3,95.49,119.89,19.0
E01003091,47.24,5.72,65.73,82.53,13.08
E01003092,56.82,6.88,79.06,99.27,15.73
E01003093,75.46,9.13,104.99,131.83,20.89
E01003094,43.48,5.26,60.5,75.96,12.04
E01003095,51.56,6.24,71.74,90.07,14.27
E01003096,70.9,8.58,98.65,123.87,19.63
E01003097,47.74,5.78,66.43,83.41,13.22
E01003098,44.55,5.39,61.98,77.82,12.33
E01003099,52.71,6.38,73.34,92.09,14.59
E01003100,58.45,7.07,81.33,102.11,16.18
E01003101,45.37,5.49,63.14,79.27,12.56
E01003102,54.19,6.56,75.4,94.67,15.0
E01003104,47.77,5.78,66.47,83.46,13.22
E01003105,55.14,6.67,76.72,96.32,15.26
E01003106,63.3,7.66,88.08,110.59,17.52
E01003107,58.3,7.06,81.12,101.85,16.14
E01003108,46.79,5.66,65.11,81.75,12.95
E01003109,91.31,11.05,127.05,159.52,25.28
E01003110,65.25,7.9,90.79,114.0,18.06
E01003111,52.59,6.36,73.18,91.88,14.56
E01003112,54.69,6.62,76.1,95.55,15.14
E01003113,65.37,7.91,90.96,114.2,18.1
E01003114,71.52,8.66,99.52,124.95,19.8
E01003115,49.99,6.05,69.56,87.33,13.84
E01003116,48.51,5.87,67.5,84.75,13.43
E01003117,63.8,7.72,88.78,111.47,17.66
E01003118,59.22,7.17,82.4,103.46,16.39
E01003119,67.59,8.18,94.04,118.08,18.71
E01003120,78.95,9.55,109.85,137.92,21.85
E01003121,43.9,5.31,61.08,76.69,12.15
E01003122,61.38,7.43,85.4,107.23,16.99
E01003123,48.75,5.9,67.83,85.16,13.49
E01003124,42.89,5.19,59.68,74.93,11.87
E01003125,51.85,6.28,72.15,90.59,14.35
E01003126,44.43,5.38,61.82,77.62,12.3
E01003127,52.47,6.35,73.01,91.67,14.53
E01003128,45.26,5.48,62.97,79.06,12.53
E01003129,51.65,6.25,71.86,90.23,14.3
E01003130,57.03,6.9,79.35,99.63,15.79
E01003131,63.36,7.67,88.16,110.69,17.54
E01003132,46.71,5.65,64.99,81.6,12.93
E01003133,47.3,5.72,65.81,82.63,13.09
E01003134,46.68,5.65,64.95,81.54,12.92
E01003135,50.76,6.14,70.63,88.68,14.05
E01003136,50.34,6.09,70.05,87.95,13.94
E01003137,47.8,5.78,66.51,83.51,13.23
E01003138,51.17,6.19,71.2,89.4,14.17
E01003139,50.99,6.17,70.96,89.09,14.12
E01003140,45.52,5.51,63.34,79.53,12.6
E01003141,55.58,6.73,77.33,97.1,15.39
E01003142,42.48,5.14,59.1,74.21,11.76
E01003143,42.98,5.2,59.8,75.09,11.9
E01003144,43.95,5.32,61.16,76.79,12.17
E01003145,56.11,6.79,78.08,98.03,15.53
E01003146,48.16,5.83,67.0,84.13,13.33
E01003147,61.76,7.47,85.94,107.9,17.1
E01003148,58.27,7.05,81.08,101.8,16.13
E01003149,55.43,6.71,77.13,96.84,15.34
E01003150,56.32,6.82,78.36,98.39,15.59
E01003151,58.06,7.03,80.79,101.44,16.07
E01003152,62.0,7.5,86.27,108.31,17.16
E01003153,72.47,8.77,100.84,126.61,20.06
E01003154,57.92,7.01,80.59,101.18,16.03
E01003155,59.51,7.2,82.81,103.97,16.47
E01003156,50.14,6.07,69.76,87.59,13.88
E01003157,51.32,6.21,71.41,89.66,14.21
E01003158,52.09,6.3,72.48,91.0,14.42
E01003159,40.94,4.95,56.96,71.52,11.33
E01003160,40.67,4.92,56.59,71.05,11.26
E01003161,34.96,4.23,48.65,61.08,9.68
E01003162,56.26,6.81,78.28,98.29,15.57
E01003163,47.74,5.78,66.43,83.41,13.22
E01003164,64.66,7.83,89.97,112.96,17.9
E01003165,46.38,5.61,64.53,81.03,12.84
E01003166,79.15,9.58,110.14,138.28,21.91
E01003167,50.52,6.11,70.3,88.26,13.99
E01003168,47.06,5.7,65.48,82.22,13.03
E01003169,69.45,8.41,96.64,121.34,19.23
E01003170,55.85,6.76,77.71,97.56,15.46
E01003171,49.6,6.0,69.02,86.66,13.73
