LSOA Code,tot_cases_spring_2021,tot_cases_summer_2021
E01000566,15.12,91.55
E01000567,12.94,78.35
E01000568,31.62,191.45
E01000569,14.18,85.84
E01000570,16.6,100.51
E01000571,16.68,101.0
E01000572,13.91,84.24
E01000573,16.29,98.61
E01000574,14.52,87.93
E01000575,19.96,120.84
E01000576,17.22,104.26
E01000577,24.61,149.02
E01000578,21.9,132.62
E01000579,15.29,92.59
E01000580,20.66,125.07
E01000581,14.04,84.98
E01000582,17.14,103.77
E01000583,20.91,126.61
E01000584,16.44,99.53
E01000585,16.98,102.78
E01000586,25.77,156.02
E01000587,15.85,95.97
E01000588,25.6,154.97
E01000589,21.84,132.26
E01000590,17.72,107.27
E01000591,21.78,131.89
E01000592,15.63,94.62
E01000593,21.64,131.03
E01000594,17.75,107.45
E01000595,16.48,99.78
E01000596,17.4,105.36
E01000599,12.64,76.5
E01000600,37.35,226.14
E01000601,14.28,86.45
E01000602,15.07,91.24
E01000603,15.6,94.43
E01000604,17.19,104.07
E01000605,16.25,98.36
E01000606,16.79,101.68
E01000607,22.73,137.6
E01000608,24.4,147.73
E01000609,19.53,118.26
E01000610,21.65,131.09
E01000611,16.53,100.08
E01000612,16.7,101.13
E01000613,18.41,111.44
E01000615,21.04,127.41
E01000616,18.5,111.99
E01000617,17.53,106.16
E01000618,14.45,87.5
E01000619,14.15,85.65
E01000620,17.06,103.28
E01000621,17.77,107.57
E01000622,16.66,100.88
E01000623,17.12,103.64
E01000624,17.92,108.49
E01000625,15.9,96.28
E01000626,15.15,91.73
E01000627,20.18,122.19
E01000628,19.42,117.58
E01000629,20.34,123.17
E01000630,27.85,168.6
E01000631,21.78,131.89
E01000632,24.14,146.13
E01000633,23.91,144.78
E01000634,27.06,163.82
E01000635,30.6,185.24
E01000636,22.66,137.17
E01000637,17.97,108.8
E01000638,22.39,135.57
E01000639,20.15,122.0
E01000640,27.17,164.49
E01000641,21.52,130.29
E01000642,25.56,154.73
E01000643,23.74,143.74
E01000644,21.07,127.59
E01000645,7.83,86.72
E01000646,9.61,106.45
E01000647,8.94,98.93
E01000648,9.6,106.27
E01000649,10.62,117.61
E01000650,10.41,115.26
